nomor,kelas,hari,jam_pelajaran,mata_pelajaran,guru_id,ruangan
1,XI RPL 2,Senin,07:00 - 08:00,Matematika,TCH002,R01
2,XI RPL 2,Senin,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
3,XI RPL 2,Senin,09:00 - 10:00,Bahasa Inggris,TCH004,R03
4,XI RPL 2,Senin,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
5,XI RPL 2,Senin,11:00 - 12:00,PBO,TCH006,R05
6,XI RPL 2,Selasa,07:00 - 08:00,Matematika,TCH011,R01
7,XI RPL 2,Selasa,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
8,XI RPL 2,Selasa,09:00 - 10:00,Bahasa Inggris,TCH013,R03
9,XI RPL 2,Selasa,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
10,XI RPL 2,Selasa,11:00 - 12:00,PBO,TCH015,R05
11,XI RPL 2,Rabu,07:00 - 08:00,Matematika,TCH002,R01
12,XI RPL 2,Rabu,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
13,XI RPL 2,Rabu,09:00 - 10:00,Bahasa Inggris,TCH004,R03
14,XI RPL 2,Rabu,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
15,XI RPL 2,Rabu,11:00 - 12:00,PBO,TCH006,R05
16,XI RPL 2,Kamis,07:00 - 08:00,Matematika,TCH011,R01
17,XI RPL 2,Kamis,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
18,XI RPL 2,Kamis,09:00 - 10:00,Bahasa Inggris,TCH013,R03
19,XI RPL 2,Kamis,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
20,XI RPL 2,Kamis,11:00 - 12:00,PBO,TCH015,R05
21,XI RPL 2,Jumat,07:00 - 08:00,Matematika,TCH002,R01
22,XI RPL 2,Jumat,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
23,XI RPL 2,Jumat,09:00 - 10:00,Bahasa Inggris,TCH004,R03
24,XI RPL 2,Jumat,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
25,XI RPL 2,Jumat,11:00 - 12:00,PBO,TCH006,R05
26,XI RPL 2,Sabtu,07:00 - 08:00,Matematika,TCH011,R01
27,XI RPL 2,Sabtu,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
28,XI RPL 2,Sabtu,09:00 - 10:00,Bahasa Inggris,TCH013,R03
29,XI RPL 2,Sabtu,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
30,XI RPL 2,Sabtu,11:00 - 12:00,PBO,TCH015,R05
31,XII RPL 1,Senin,07:00 - 08:00,Matematika,TCH002,R01
32,XII RPL 1,Senin,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
33,XII RPL 1,Senin,09:00 - 10:00,Bahasa Inggris,TCH004,R03
34,XII RPL 1,Senin,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
35,XII RPL 1,Senin,11:00 - 12:00,PBO,TCH006,R05
36,XII RPL 1,Selasa,07:00 - 08:00,Matematika,TCH011,R01
37,XII RPL 1,Selasa,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
38,XII RPL 1,Selasa,09:00 - 10:00,Bahasa Inggris,TCH013,R03
39,XII RPL 1,Selasa,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
40,XII RPL 1,Selasa,11:00 - 12:00,PBO,TCH015,R05
41,XII RPL 1,Rabu,07:00 - 08:00,Matematika,TCH002,R01
42,XII RPL 1,Rabu,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
43,XII RPL 1,Rabu,09:00 - 10:00,Bahasa Inggris,TCH004,R03
44,XII RPL 1,Rabu,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
45,XII RPL 1,Rabu,11:00 - 12:00,PBO,TCH006,R05
46,XII RPL 1,Kamis,07:00 - 08:00,Matematika,TCH011,R01
47,XII RPL 1,Kamis,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
48,XII RPL 1,Kamis,09:00 - 10:00,Bahasa Inggris,TCH013,R03
49,XII RPL 1,Kamis,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
50,XII RPL 1,Kamis,11:00 - 12:00,PBO,TCH015,R05
51,XII RPL 1,Jumat,07:00 - 08:00,Matematika,TCH002,R01
52,XII RPL 1,Jumat,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
53,XII RPL 1,Jumat,09:00 - 10:00,Bahasa Inggris,TCH004,R03
54,XII RPL 1,Jumat,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
55,XII RPL 1,Jumat,11:00 - 12:00,PBO,TCH006,R05
56,XII RPL 1,Sabtu,07:00 - 08:00,Matematika,TCH011,R01
57,XII RPL 1,Sabtu,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
58,XII RPL 1,Sabtu,09:00 - 10:00,Bahasa Inggris,TCH013,R03
